date,cpi,wpi,month,year,quarter,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,cpi_pct_change,cpi_diff,wpi_pct_change,wpi_lag1,trend_index,cpi_wpi_diff
2014-05-01,115.8,114.8,5,2014,2,115.1,114.2,113.6,116.3,106.9,115.03333333333332,0.8020806277013405,114.46666666666665,0.8664102184687387,0.6081668114682914,0.7000000000000028,0.6134969325153339,114.1,25,1.0
2014-06-01,116.7,115.2,6,2014,2,115.8,115.1,114.2,114.5,109.3,115.86666666666667,0.8020806277013534,114.83333333333333,1.2596295751795752,0.7772020725388629,0.9000000000000057,0.34843205574912606,114.8,26,1.5
2014-07-01,119.2,116.7,7,2014,3,116.7,115.8,115.1,113.6,111.0,117.23333333333333,1.7616280348966409,115.76666666666667,2.012626807599254,2.142245072836335,2.5,1.302083333333326,115.2,27,2.5
2014-08-01,120.3,117.2,8,2014,3,119.2,116.7,115.8,113.6,112.4,118.73333333333333,1.8448125469363503,116.88333333333333,2.392836531538935,0.9228187919463116,1.0999999999999943,0.42844901456726703,116.7,28,3.0999999999999943
2014-09-01,120.1,116.4,9,2014,3,120.3,119.2,116.7,114.2,113.7,119.86666666666667,0.5859465277086204,117.86666666666667,2.2791811395032626,-0.16625103906899863,-0.20000000000000284,-0.6825938566552892,117.2,29,3.6999999999999886
2014-10-01,120.1,115.6,10,2014,4,120.1,120.3,119.2,115.1,114.8,120.16666666666667,0.1154700538399381,118.7,1.9565275362235017,0.0,0.0,-0.6872852233677063,116.4,30,4.5
2014-11-01,120.1,114.1,11,2014,4,120.1,120.1,120.3,115.8,116.3,120.1,6.811871830991891e-07,119.41666666666667,1.3862419221288653,0.0,0.0,-1.2975778546712835,115.6,31,6.0
2014-12-01,119.4,112.1,12,2014,4,120.1,120.1,120.1,116.7,114.5,119.86666666666667,0.4041451884333035,119.86666666666667,0.45018514709792,-0.5828476269775118,-0.6999999999999886,-1.752848378615246,114.1,32,7.300000000000011
2015-01-01,119.5,110.8,1,2015,1,119.4,120.1,120.1,119.2,113.6,119.66666666666667,0.3785938897206233,119.91666666666667,0.37103458958374846,0.08375209380233617,0.09999999999999432,-1.1596788581623496,112.1,33,8.700000000000003
2015-02-01,119.7,109.6,2,2015,1,119.5,119.4,120.1,120.3,113.6,119.53333333333335,0.15275252316671378,119.81666666666666,0.32506409624499083,0.16736401673640433,0.20000000000000284,-1.0830324909747335,110.8,34,10.100000000000009
2015-03-01,120.2,109.9,3,2015,1,119.7,119.5,119.4,120.1,114.2,119.8,0.36055512754703095,119.83333333333333,0.34448028487502036,0.41771094402673903,0.5,0.27372262773723843,109.6,35,10.299999999999997
2015-04-01,120.7,110.2,4,2015,2,120.2,119.7,119.5,120.1,115.1,120.2,0.5000000000004418,119.93333333333334,0.4926120853852309,0.4159733777038266,0.5,0.27297543221109777,109.9,36,10.5
2015-05-01,121.6,111.4,5,2015,2,120.7,120.2,119.7,120.1,115.8,120.83333333333333,0.7094598884600516,120.18333333333334,0.8471520918156357,0.7456503728251684,0.8999999999999915,1.0889292196007316,110.2,37,10.199999999999989
2015-06-01,123.0,111.8,6,2015,2,121.6,120.7,120.2,119.4,116.7,121.76666666666667,1.1590225767144238,120.78333333333335,1.3227496613749983,1.1513157894736947,1.4000000000000057,0.35906642728904536,111.4,38,11.200000000000003
2015-07-01,123.6,111.1,7,2015,3,123.0,121.6,120.7,119.5,119.2,122.73333333333333,1.0263202878895763,121.46666666666668,1.564182427553684,0.4878048780487809,0.5999999999999943,-0.6261180679785316,111.8,39,12.5
2015-08-01,124.8,110.0,8,2015,3,123.6,123.0,121.6,119.7,120.3,123.8,0.9165151389913733,122.31666666666666,1.7826010957776903,0.9708737864077666,1.2000000000000028,-0.9900990099009799,111.1,40,14.799999999999997
2015-09-01,125.4,109.9,9,2015,3,124.8,123.6,123.0,120.2,120.1,124.59999999999998,0.9165151389913625,123.18333333333332,1.8115371005496785,0.48076923076922906,0.6000000000000085,-0.09090909090908594,110.0,41,15.5
2015-10-01,126.1,110.1,10,2015,4,125.4,124.8,123.6,120.7,120.1,125.43333333333334,0.6506407098650095,124.08333333333333,1.666633333000407,0.5582137161084466,0.6999999999999886,0.18198362147405778,109.9,42,16.0
2015-11-01,126.6,109.9,11,2015,4,126.1,125.4,124.8,121.6,120.1,126.03333333333335,0.6027713773343973,124.91666666666667,1.406295369639015,0.3965107057890549,0.5,-0.1816530426884566,110.1,43,16.69999999999999
2015-12-01,126.1,109.4,12,2015,4,126.6,126.1,125.4,123.0,119.4,126.26666666666665,0.2886751345952793,125.43333333333334,1.0966616007995336,-0.3949447077409185,-0.5,-0.45495905368516665,109.9,44,16.69999999999999
2016-01-01,126.3,108.0,1,2016,1,126.1,126.6,126.1,123.6,119.5,126.33333333333333,0.25166114784288546,125.88333333333333,0.6615638039284236,0.15860428231562196,0.20000000000000284,-1.2797074954296161,109.4,45,18.299999999999997
2016-02-01,126.0,107.1,2,2016,1,126.3,126.1,126.6,124.8,119.7,126.13333333333333,0.1527525231660888,126.08333333333333,0.39707262140352745,-0.23752969121140222,-0.29999999999999716,-0.8333333333333415,108.0,46,18.900000000000006
2016-03-01,126.0,107.7,3,2016,1,126.0,126.3,126.1,125.4,120.2,126.10000000000001,0.17320508075767752,126.18333333333332,0.23166067138874047,0.0,0.0,0.5602240896358524,107.1,47,18.299999999999997
